,Plot,Genre
0,"It deals with a small-town boy, who comes to Calcutta to be a film actor, and gets involved in a modern-day thugee cult.[2]
Cast",drama
1,"Study of absurdity in a suburban family: father rebuilds the Old Bailey in the living room, and the son teaches weighing machines to sing in the bathroom.[3]",comedy
2,"The central figure of the film is represented by a mysterious figure called ""Gaja Gamini"" (Madhuri Dixit), who inspires, arouses, and confuses the common man. ""Gaja Gamini"" is the inspiration behind Leonardo da Vinci's (Naseeruddin Shah) 'Mona Lisa', Kalidas' poem ""Shakuntala"", and a photojournalist named Shahrukh's (Shah Rukh Khan) photographs. The mysterious ""Gaja Gamini"" appears as four characters, one of them being Sangeeta, a blind girl from Banaras at the beginning of time, who inspires village women (Farida Jalal, Shilpa Shirodkar, and Shabana Aazmi) to revolt against a male-dominated system and carve a niche for women forever. Another character is Shakuntala, who is the subject of Kalidas' poem of the same name. Shakuntala incites jealousy in the women and love in the men around her, charming humans and animals alike in the forests of Kerala. ""Gaja Gamini"" is also Mona Lisa during the Renaissance, the object of painter Leonardo da Vinci's obsession. Finally, Monika, the most confusing sector of the film, is supposed to represent the woman of the New Millennium. Kamdev, the God of Love (Inder Kumar), walks the earth throughout history, attempting to win the love of ""Gaja Gamini"".
Thrown into this mix is a large black wall, separating two different periods, and confrontations between Science (Ashish Vidyarthi) and Art (Mohan Agashe) at different points in history, showing that the world itself can change, but its original ideas will always be the same. For example, a play by Shakespeare written and performed by actors in the 15th century will still be performed in the 21st century, but with different actors. The confrontations between art and science also bring about the idea that while science is firmly set on believing that which can only be proved, the basis for art is that which can be proved, and an intuitive sense that can be felt. Science uses the brain, while Art uses the brain and the heart. Another facet of the film is a ""gathri"", a small bundle which a woman carries upon her head, like a burden, with which she must walk forever.[6][7]",drama
3,"The plot is predicated on the Vatican being controlled by the Mafia boss Vittorio Corelli (Herbert Lom). The movie opens with the death of the previous Pope followed by a deadlocked conclave that lasts for 25 days. The conclave is ended by the Mafia's tame Cardinal Rocco (Alex Rocco), who successfully persuades the College of Cardinals to elect in absentia the Mafia's favoured candidate to the papacy, Albini (Janez Vajevec), a priest in the service of the Mafia, whom Rocco passes off as an absent ""Cardinal Albini"".
Unfortunately for the Mafia, the secretary of the College of Cardinals Fr. Rookie (Adrian Edmondson) is hard of hearing, and while recording the official results of the election, he misheard the pope-elect's name and instead of writing ""Cardinal Albini"" he writes down ""Cardinal Albinizi"" and ""Albinizi"" happens to be the surname of an honest parish priest, C. David ""Dave"" Albinizi, (Robbie Coltrane). As a result, Fr. Albinizi becomes Pope and takes the name of Pope David I. Father Albinizi is an unorthodox priest, interested in cars, women and Rock and Roll. However, his interests in those are rather benign and not overly carnal. Prior to his ascent to the papacy, Albinzi had been a priest in an Italian orphanage, where he took a genuine interest in the children's welfare and wished them to grow up enjoying the gospel, as opposed to the curmedgeonly nuns who believe misery is deserved. Inside the Vatican, the Pope gets along with Bish (Peter Richardson), a priest in charge of coordinating the pope's security and an unnamed nun (Mirta Zecevic) assigned to bring him his meals. The pope initially considers abdicating due to a failed assassination attempt against him but is convinced by the nun to stay. As the plot develops, one of the journalists at the press conference asks the Pope to explain the corruption inside the Vatican bank. The Pope demands to see the Vatican accounts. Bish had previously received a disk upon the previous pope's death containing information about the financial irregularities and when Pope David looks into the Vatican accounts, Bish gives the disk to the pope. With Bish's help, the Pope discovers the gun-smuggling and stolen merchandise operations, and confronts Cardinal Rocco. Albinizi immediately has Rocco defrocked as punishment and to help put an end to the corruption. In revenge, Rocco persuades his mafia backers to intensify the assassination efforts against Pope David.
Together with the papal chamberlain Monsignor Fitchie (Paul Bartel), Cardinal Rocco decides to find any affair to blackmail the Pope. They find out that before joining the priesthood, Albinizi fathered a son with Veronica Dante (Beverly D'Angelo), an American tourist. Albinizi had joined the priesthood because Veronica did not want to marry him or stay with him. Consequently, Veronica had given birth to their son, but never informed Albinizi of this. Their son is now a rock star, Joe Don Dante (Balthazar Getty), dating Corelli's daughter Luccia (Khedija Sassi). Corelli doesn't approve this relationship and sends thugs to kill Joe. However, the bomb which destroys Joe's trailer kills Luccia and seriously wounds Joe who is then revealed the truth about his father. Albinizi, now Pope David I, learns about his son from Veronica and subsequently visits him before Joe dies.
Pope David learns the Vatican Bank is a tool of the Mafia, and has it dissolved. Soon after that the Pope's affair is revealed and he is forced to resign and Corelli's candidate Albini is elected Pope. Corelli and Fr. Albini move into the papal apartments. Out in the streets, Albinizi gets back with Veronica. He also finds out that the orphanage where he previously worked before becoming pope had closed. Albinizi reads the news about Albini becoming pope and rushes back to the Vatican to ask Bish to help him stop the coronation. On the way to the papal apartments the two encounter a dying Cardinal Rocco who had just been shot by Corelli. While Bish continues to the papal apartments, Rocco confesses to Albinizi who grants him absolution in his dying moments interrupted by a phone call to Rocco from his female partner. Rocco subsequently dies and Albinizi having completed the absolution rite goes to the papal chamber and finds Bish bound. Bish however tells Albinizi that the coronation was about to take place and tells him to get there fast instead of freeing him. Albinizi rushes off to the Sistine Chapel. Mons. Fitchie who had previously overheard Corelli shoot Cardinal Rocco eventually comes and frees Bish. Albinizi manages to get into the Sistine Chapel just before the end of the ceremony and reveals to the public that the man in the chapel called Albini is really Corelli in disguise. Corelli admits that there was no Cardinal Albini, declares himself as ""Pope Vittorio I, Emperor of the Vatican"" and draws the gun to hold Albinizi at gunpoint. He fires a few shots which hit the ceiling, causing it to collapse and bury Corelli. After Corelli is defeated, a nun (the one who served Albinizi when he was pope) is chosen to become the first female Pope in history. The new Pope (or Popess) announces that she will give the Vatican's gold to the world's poor. She also gives her blessing for Albinizi to take a bride. Albinizi and Veronica marry (with Bish as the priest), adopt the children from the orphanage and have children of their own as well.",comedy
4,"Stuart Smalley (Al Franken), the disciple of the 12-step program, is challenged by life's injustices. He loses his public-access cable television show, must beg his manipulative overbearing boss for his job back, rehabilitate his alcoholic father and drug abuser brother (Vincent D'Onofrio), and support his overweight mother (Shirley Knight) and sister (Lesley Boone) in their lack of ability in handling their relationships with their husbands. Stuart is supported by his 12-step sponsors as he regresses to his negative behaviors each time he faces these challenges.",comedy
5,"Ann Carter, an inexperienced young woman, accepts an invitation to dinner from Frank Devereaux, the son of her employer. The date turns out to be far from what she expects. It is aboard a ""rum boat"", a ship that sails beyond the 12 mile limit to get around the restrictions of Prohibition. Worse, Frank turns out to be a cad. When she tries to leave, he locks the door and tries to force himself on her, tearing her dress. Fortunately, the ship drifts back into U.S. waters and a police raid stops him from going any further. When a photographer takes a picture of the two under arrest, Frank buys it from him.
Eighteen months later, Ann is happily married to wealthy Lawrence Reagan. They are about to celebrate their first wedding anniversary when Frank resurfaces in Ann's life, this time as the boyfriend of her naive young sister-in-law, Helen. Though both Ann and her husband tell Helen that Frank is no good, as Lawrence knows that Frank is having an affair with the wife of one of his friends, it is clear to Ann that Helen does not believe them.
Ann goes to Frank's apartment to stop him from taking advantage of Helen. She hides when Lawrence shows up unexpectedly. He warns Frank to leave town before Lawrence's friend catches up with him and shoots him. Frank had already planned to go, but when Lawrence declares that he intends to administer a beating first, Frank draws a gun. He is shot in the ensuing struggle. Lawrence leaves without being seen, unaware that his wife has heard the whole thing.
To protect her husband, Ann phones the switchboard operator and reenacts her earlier assault, ending with her firing two shots. When the police arrive, the district attorney soon pokes holes in her story. Also, the photograph is found, providing a motive for murder. However, Frank is not yet dead; in his last few minutes of life, he explains what really happened, exonerating both Ann and Lawrence.",drama
6,"Disgusted that his fiancee, Diane (Jetta Goudal) has been cheating on him, Karl (William Boyd) says he'd rather marry a ""street walker"" than her. To get back at him, Diane arranges for Nanoni (""Little One"") (Lupe Vélez), a singer at a sleazy bar, to pretend to be a Spanish girl, from a convent, to fool him.[2]",comedy
7,"A number of people are held captive by Major Ling Wu and his men, who refuse to let anyone go until identifying a spy in their midst. When he sends his assassin Sun Lee after one of the hostages, Dan Maynard, a doctor, and Knuckles Greer, a sailor, manage to intervene.
Dan is confounded by the beautiful Rita King's seeming ability to come and go as she pleases. It becomes obvious that the police chief Colonel Zorek considers himself her protector.
Ling is so determined to frighten the captives into exposing the spy that he kills his own man, Su, just to prove how far he is prepared to go. Ling tries to rape a young newlywed, Leah De Verno, and cuts the rations so that the captives have barely enough food to stay alive. Some are killed or mysteriously led away.
Zorek propositions Rita if she will cooperate. Dan still doesn't know that she is being held against her will, just like everyone else. A young girl named Penny, daughter of another interned couple, requires emergency medical help and Dan appeals to his captors to permit him to operate on the child. The only way permission is granted is for Rita to grant Zorek her favors.
A captive named Paul Grant is discovered to have a hidden radio. He has received a coded message that a rescue submarine will be waiting nearby. Dan helps him attempt an escape, but before he leaves, Grant shares with Dan the coded information, just in case.
Grant is reported dead. Dan places the blame on Rita, presuming she tipped off Zorek how to capture and kill the spy. Zorek, summoned and assuming he will be rewarded, is instead punished for permitting the escape. Dan finally becomes aware that Rita played no role in assisting their captors, and after he escapes and contacts the submarine, he goes back to rescue the others and her.",drama
8,"Tommy Taylor and ""The Professor"", two sailors returning from leave to Portsmouth, pick up Lydia, a Wren, on the road but get a puncture as they reach Stonehenge. The professor tells them of an old legend that those caught at Stonehenge at midnight on midsummer's night are transported back in time. Moments later the area is struck by lightning. Nearby a group of Roman soldiers have suddenly appeared whom they initially mistake for members of ENSA. However, they swiftly prove to be genuine Romans who arrest them and threaten instant death unless they can prove they are Druids.
Among the musical numbers in the picture, Tommy Trinder gives a stupendous performance as ""Senorita Alvarez"" from Brazil (impersonating Carmen Miranda).",comedy
9,"In 1943, Royal Navy Lieutenant Commander, Ewen Montagu (Clifton Webb), comes up with a scheme to deceive the Nazis about the impending invasion of Southern Europe. It entails releasing a dead body just off the coast of Spain, where strong currents will almost certainly cause it to drift ashore in an area where a skilled German secret agent operates. The corpse will appear as a plane crash victim, the non-existent Royal Marine, Major William Martin, who is carrying false letters about a forthcoming Allied invasion of Greece, rather than the obvious target of Sicily. Time is short, but the impatient Montagu is finally given approval to carry out the mission: Operation Mincemeat.
On the advice of a medical expert, Montagu procures the body of a man who died of pneumonia (so that he will seem to have drowned) from the grieving father. Then, after proper preparations, he and his assistant, Lt. Acres (Robert Flemyng), take the corpse (concealed in a canister packed with dry ice) to a waiting submarine. The submarine travels to the Mediterranean, along the way evading a depth-charge attack, before surfacing at night to release the body. As hoped, the body washes ashore on a Spanish beach and is processed by local authorities, observed by German and British consulate staff. After the attache case containing the letters is returned to London, as part of the personal possessions of the deceased Major Martin, Montagu is disappointed the documents do not appear to have been tampered with. However, a laboratory expert confirms that the key letter, describing the (false) Allied attack in Greece, was cleverly opened and resealed.
Hitler is convinced the document is genuine, even though a German intelligence officer is sceptical. He orders an IRA Nazi spy, Patrick O'Reilly (Stephen Boyd) dispatched to London to investigate. What O'Reilly uncovers is inconclusive, in his mind, until he checks out Martin's ""fiancée"", Lucy Sherwood (Gloria Grahame). She is the roommate of Montagu's assistant, Pam (Josephine Griffin). O'Reilly shows up at their flat, posing as Martin's old friend, on the same day Lucy received news that her real boyfriend has been killed in action. Her genuine grief mostly convinces O'Reilly. As a final test, however, he leaves the address of his lodgings in north London, telling Lucy to contact him if she needs anything. He then informs his German superiors by radio to expect a message from him in an hour, unless British counterintelligence comes for him. Montagu almost makes this very mistake, but realises in time why O'Reilly left his address and, with some difficulty, convinces his superiors not to order O'Reilly to be arrested. O'Reilly then sends a ""Martin genuine!"" radio message, and the Nazis transfer most of their Sicily-based forces to Greece, making the Allied deceit successful.
After the war, Montagu leaves a medal he was awarded at the grave of ""the man who never was"".",drama
